Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Country Code_YoY_Change,Element Code_YoY_Change,Item Code_YoY_Change,Year Code_YoY_Change,Value_YoY_Change
FBS,Food Balance Sheets,5400,Europe,5131,Processing,2515,Rye and products,2013,2013,1000 tonnes,1021.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,0.0015615850087840055,0.0,0.0,1.1769722814498933
FBS,Food Balance Sheets,5400,Europe,5154,Other uses,2515,Rye and products,2013,2013,1000 tonnes,21.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,0.00448255700643152,0.0,0.0,-0.9794319294809011
FBS,Food Balance Sheets,5400,Europe,5142,Food,2515,Rye and products,2013,2013,1000 tonnes,4914.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,-0.002328288707799775,0.0,0.0,233.0
FBS,Food Balance Sheets,5400,Europe,645,Food supply quantity (kg/capita/yr),2515,Rye and products,2013,2013,kg,6.62,Fc,Calculated data,0.0,-0.8745624270711785,0.0,0.0,-0.9986528286528287
FBS,Food Balance Sheets,5400,Europe,664,Food supply (kcal/capita/day),2515,Rye and products,2013,2013,kcal/capita/day,50.0,Fc,Calculated data,0.0,0.029457364341085368,0.0,0.0,6.552870090634441
FBS,Food Balance Sheets,5400,Europe,674,Protein supply quantity (g/capita/day),2515,Rye and products,2013,2013,g/capita/day,1.29,Fc,Calculated data,0.0,0.015060240963855387,0.0,0.0,-0.9742
FBS,Food Balance Sheets,5400,Europe,684,Fat supply quantity (g/capita/day),2515,Rye and products,2013,2013,g/capita/day,0.21,Fc,Calculated data,0.0,0.014836795252225476,0.0,0.0,-0.8372093023255814
FBS,Food Balance Sheets,5400,Europe,5511,Production,2516,Oats,2013,2013,1000 tonnes,14520.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",,,,,
FBS,Food Balance Sheets,5400,Europe,5611,Import Quantity,2516,Oats,2013,2013,1000 tonnes,1137.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,0.01814552712756301,0.0,0.0,-0.9216942148760331
FBS,Food Balance Sheets,5400,Europe,5072,Stock Variation,2516,Oats,2013,2013,1000 tonnes,-372.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,-0.0960613081447157,0.0,0.0,-1.3271767810026385
