Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balance Sheets,5400,Europe,5131,Processing,2515,Rye and products,2013,2013,1000 tonnes,1021.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5154,Other uses,2515,Rye and products,2013,2013,1000 tonnes,21.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5142,Food,2515,Rye and products,2013,2013,1000 tonnes,4914.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,645,Food supply quantity (kg/capita/yr),2515,Rye and products,2013,2013,kg,6.62,Fc,Calculated data
FBS,Food Balance Sheets,5400,Europe,664,Food supply (kcal/capita/day),2515,Rye and products,2013,2013,kcal/capita/day,50.0,Fc,Calculated data
FBS,Food Balance Sheets,5400,Europe,674,Protein supply quantity (g/capita/day),2515,Rye and products,2013,2013,g/capita/day,1.29,Fc,Calculated data
FBS,Food Balance Sheets,5400,Europe,684,Fat supply quantity (g/capita/day),2515,Rye and products,2013,2013,g/capita/day,0.21,Fc,Calculated data
FBS,Food Balance Sheets,5400,Europe,5511,Production,2516,Oats,2013,2013,1000 tonnes,14520.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5611,Import Quantity,2516,Oats,2013,2013,1000 tonnes,1137.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5072,Stock Variation,2516,Oats,2013,2013,1000 tonnes,-372.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5911,Export Quantity,2516,Oats,2013,2013,1000 tonnes,1332.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
